"officer_id","year","month","num_stops","percent_missing_race","yrmth"
971,"2014","08",137,0,2014-08-01
971,"2014","09",88,0,2014-09-01
971,"2014","10",85,0,2014-10-01
971,"2014","11",73,61.6438356164384,2014-11-01
971,"2014","12",88,100,2014-12-01
971,"2015","01",61,100,2015-01-01
971,"2015","02",30,100,2015-02-01
971,"2015","03",1,100,2015-03-01
978,"2011","01",52,0,2011-01-01
978,"2011","02",22,0,2011-02-01
978,"2011","03",7,0,2011-03-01
978,"2011","04",4,0,2011-04-01
987,"2011","01",18,0,2011-01-01
987,"2011","02",28,0,2011-02-01
987,"2011","03",51,0,2011-03-01
987,"2011","04",55,0,2011-04-01
987,"2011","05",52,0,2011-05-01
987,"2011","06",36,0,2011-06-01
987,"2011","07",49,0,2011-07-01
987,"2011","08",41,0,2011-08-01
987,"2011","09",25,0,2011-09-01
987,"2011","10",66,1.51515151515152,2011-10-01
987,"2011","11",22,0,2011-11-01
987,"2011","12",31,0,2011-12-01
987,"2012","01",39,0,2012-01-01
987,"2012","02",35,0,2012-02-01
987,"2012","03",55,0,2012-03-01
987,"2012","04",21,0,2012-04-01
987,"2012","05",30,0,2012-05-01
987,"2012","06",33,0,2012-06-01
987,"2012","07",46,0,2012-07-01
987,"2012","08",34,0,2012-08-01
987,"2012","09",23,0,2012-09-01
987,"2012","10",55,0,2012-10-01
987,"2012","11",28,3.57142857142857,2012-11-01
987,"2012","12",34,0,2012-12-01
987,"2013","01",50,0,2013-01-01
987,"2013","02",52,0,2013-02-01
987,"2013","03",57,0,2013-03-01
987,"2013","04",71,0,2013-04-01
987,"2013","05",35,0,2013-05-01
987,"2013","06",26,0,2013-06-01
987,"2013","07",49,0,2013-07-01
987,"2013","08",34,2.94117647058824,2013-08-01
987,"2013","09",39,0,2013-09-01
987,"2013","10",37,0,2013-10-01
987,"2013","11",24,0,2013-11-01
987,"2013","12",19,0,2013-12-01
987,"2014","01",25,0,2014-01-01
987,"2014","02",28,0,2014-02-01
987,"2014","03",27,0,2014-03-01
987,"2014","04",44,0,2014-04-01
987,"2014","05",43,0,2014-05-01
987,"2014","06",48,0,2014-06-01
987,"2014","07",30,0,2014-07-01
987,"2014","08",14,0,2014-08-01
987,"2014","09",32,0,2014-09-01
987,"2014","10",37,0,2014-10-01
987,"2014","11",18,0,2014-11-01
987,"2014","12",5,0,2014-12-01
991,"2011","02",1,0,2011-02-01
993,"2011","01",43,0,2011-01-01
993,"2011","02",28,0,2011-02-01
993,"2011","03",42,0,2011-03-01
993,"2011","04",41,0,2011-04-01
993,"2011","05",86,0,2011-05-01
993,"2011","06",64,0,2011-06-01
993,"2011","07",25,0,2011-07-01
993,"2011","08",48,0,2011-08-01
993,"2011","09",106,0,2011-09-01
993,"2011","10",30,0,2011-10-01
993,"2011","11",34,0,2011-11-01
993,"2011","12",30,0,2011-12-01
993,"2012","01",27,0,2012-01-01
993,"2012","02",69,0,2012-02-01
993,"2012","03",68,0,2012-03-01
993,"2012","04",52,0,2012-04-01
